Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%
EC, 0, 30, 10, 20, 0, 45, 65, 3.417282, 1000000, 0, 0, 0, 0, 0, 0, 9.27311e-09, 9.27116e-06, 6.83781e-18, 0.00927117, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000100, 0.000200, 0.000300,  0.003100, 0.016900, 0.144800, 1.160300, 51.690500, 42.786400, 4.064400, 0.132900

LT, 0, 30, 10, 20, 0, 77, 270, 2.006925, 1000000, 0, 0, 0, 0, 0, 0, 6.16117e-08, 2.53523e-05, 8.96849e-17, 0.0145594, 0.000000, 0.000300, 0.000500, 0.000500, 0.002100, 0.004600, 0.016000, 0.050900,  0.167100, 0.604800, 2.559400, 5.881300, 17.754900, 59.766800, 13.121500, 0.069300
EC, 0, 30, 10, 20, 0, 77, 270, 3.355518, 1000000, 0, 0, 0, 0, 0, 0, 6.33556e-11, 6.20408e-08, 0, 6.20392e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000400, 0.000800,  0.003800, 0.013600, 0.109800, 0.743200, 4.574300, 58.358200, 34.148700, 2.047100

LT, 0, 30, 10, 20, 0, 93, 189, 1.952667, 1000000, 0, 0, 0, 0, 0, 0, 2.30169e-10, 5.58288e-08, 1.82385e-16, 3.76673e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000400, 0.003000, 0.008000, 0.029600,  0.106700, 0.355600, 1.292100, 5.078300, 20.048800, 62.317100, 10.706700, 0.053700
EC, 0, 30, 10, 20, 0, 93, 189, 3.333916, 1000000, 0, 0, 0, 0, 0, 0, 1.34783e-12, 9.77042e-10, 0, 9.57835e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000300, 0.000100,  0.002100, 0.007000, 0.025300, 0.094200, 0.555700, 48.962700, 46.417500, 3.935100

LT, 0, 30, 10, 20, 0, 102, 333, 1.975419, 1000000, 0, 0, 0, 0, 0, 0, 1.31424e-08, 7.15571e-06, 2.01794e-16, 0.00494322, 0.000000, 0.000000, 0.000400, 0.000300, 0.000500, 0.002500, 0.005200, 0.020000,  0.078500, 0.302000, 1.613000, 10.918500, 54.121100, 30.925200, 2.006700, 0.006100
EC, 0, 30, 10, 20, 0, 102, 333, 3.351992, 1000000, 0, 0, 0, 0, 0, 0, 1.43125e-08, 1.43092e-05, 1.58721e-17, 0.0143092, 0.000000, 0.000100, 0.000000, 0.000000, 0.000000, 0.000100, 0.000200, 0.000700,  0.004100, 0.020600, 0.133400, 0.999700, 27.673400, 62.921600, 7.911200, 0.334900

LT, 0, 30, 10, 20, 0, 68, 201, 2.003292, 1000000, 0, 0, 0, 0, 0, 0, 4.60539e-09, 3.22987e-06, 8.45825e-17, 0.00312026, 0.000000, 0.000000, 0.000100, 0.000200, 0.000900, 0.002100, 0.008200, 0.026400,  0.084500, 0.275500, 1.105500, 4.757800, 22.040500, 60.527500, 11.105800, 0.065000
EC, 0, 30, 10, 20, 0, 68, 201, 3.337244, 1000000, 0, 0, 0, 0, 0, 0, 2.22152e-12, 1.30066e-09, 0, 1.26442e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000400, 0.000300,  0.003100, 0.012100, 0.086200, 0.634400, 4.353300, 58.898900, 34.195800, 1.815400

LT, 0, 30, 10, 20, 0, 173, 188, 1.791664, 1000000, 0, 0, 0, 0, 0, 0, 3.50928e-07, 0.00012792, 9.49931e-16, 0.102547, 0.000100, 0.001000, 0.000400, 0.002400, 0.007400, 0.023700, 0.079000, 0.218100,  0.506800, 1.736600, 5.643600, 33.057100, 54.124600, 4.564300, 0.034800, 0.000100
EC, 0, 30, 10, 20, 0, 173, 188, 3.280982, 1000000, 0, 0, 0, 0, 0, 0, 1.61492e-12, 2.67775e-10, 1.22094e-17, 2.4891e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.001300,  0.012400, 0.085500, 0.620400, 4.299000, 66.983500, 26.064500, 1.883200, 0.050100

LT, 0, 30, 10, 20, 0, 145, 201, 1.884209, 1000000, 0, 0, 0, 0, 0, 0, 6.0746e-08, 3.0062e-05, 2.03642e-16, 0.0240509, 0.000000, 0.000300, 0.000300, 0.000900, 0.002200, 0.008800, 0.024100, 0.078600,  0.247000, 0.814200, 2.385500, 5.223800, 27.939400, 58.410500, 4.848600, 0.015800
EC, 0, 30, 10, 20, 0, 145, 201, 3.325563, 1000000, 0, 0, 0, 0, 0, 0, 2.04001e-12, 1.44665e-09, 0, 1.39448e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000500,  0.001600, 0.008700, 0.056000, 0.397000, 3.190100, 65.997000, 28.844000, 1.504900

